Circuit: * D:\Google Drive\Delta Technologies\Projects\deltaSigmaADC\SPICE\deltaSigmaFirstOrderModulator.asc

Limiting rise time of source v3 to 5e-006
Limiting fall time of source v3 to 5e-006
Instance "m:u1:6": Length shorter than recommended for a level 2 MOSFET.
Instance "m:u1:5": Length shorter than recommended for a level 2 MOSFET.
Instance "m:u1:4": Length shorter than recommended for a level 2 MOSFET.
Instance "m:u1:3": Length shorter than recommended for a level 2 MOSFET.
Instance "m:u1:2": Length shorter than recommended for a level 2 MOSFET.
Instance "m:u1:1": Length shorter than recommended for a level 2 MOSFET.
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.000604488 to 0.000604488
Heightened Def Con from 0.00060449 to 0.00060449
Heightened Def Con from 0.00060449 to 0.00060449
Heightened Def Con from 0.00060449 to 0.00060449
Heightened Def Con from 0.00060449 to 0.00060449
Heightened Def Con from 0.00060449 to 0.00060449
Heightened Def Con from 0.00060449 to 0.00060449
Heightened Def Con from 0.000604491 to 0.000604491
Heightened Def Con from 0.000604491 to 0.000604491
Heightened Def Con from 0.000604491 to 0.000604491
Heightened Def Con from 0.000604491 to 0.000604491
Heightened Def Con from 0.000604491 to 0.000604491
Heightened Def Con from 0.000604492 to 0.000604492
Heightened Def Con from 0.000604493 to 0.000604493
Heightened Def Con from 0.000604493 to 0.000604493
Heightened Def Con from 0.000604493 to 0.000604493
Heightened Def Con from 0.000604493 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604494 to 0.000604494
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604495 to 0.000604495
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604496 to 0.000604496
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604497 to 0.000604497
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604498 to 0.000604498
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.000604499 to 0.000604499
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.0006045 to 0.0006045
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 +to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604501 to 0.000604501
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
Heightened Def Con from 0.000604502 to 0.000604502
